"indiv_id","weight_kg","X","duration","n.notes","low.freq","high.freq","note.rate","bandwidth.mean","bandwidth.sd","firstnotehighfreq","lasttnotehighfreq","sex","name"
"abe",1.34,44,2.53719181,6,2766.3,4921.8,2.36481923690271,732.116666666667,151.640132111083,4059.6,4814,"M","abe"
"abe",1.34,40,2.378806263,6,2842,4998,2.5222735005049,689.066666666667,237.462886924813,4263,4998,"M","abe"
"abe",1.34,41,2.145288215,5,2450,4655,2.33068916569795,723.5,115.567447838914,4165,4508,"M","abe"
"abe",1.34,43,1.990340261,5,3302.4,5537.9,2.51213327588915,602.94,105.491364575495,4725,5537.9,"M","abe"
"abe",1.34,39,2.435845864,7,3118.3,5058.6,2.87374505236757,639.857142857143,139.383832839906,4296.4,5058.6,"M","abe"
"abe",1.34,42,2.69896437,6,2845.2,5182.3,2.22307491965891,918.766666666667,160.388249777428,4216.9,5182.3,"M","abe"
"aiden",1.32,59,2.051415006,5,3217.9,5191,2.43734202264093,534.04,238.997087848367,4424.6,5191,"M","aiden"
"aiden",1.32,57,4.888446426,11,2925.4,5188.2,2.2502036519199,743.881818181818,235.169180881262,3803,5138.3,"M","aiden"
"aiden",1.32,58,4.341164185,8,3327.6,5119.4,1.84282364340016,753.6625,233.631589947568,3949.3,5119.4,"M","aiden"
"aiden",1.32,60,2.682456918,6,4132.1,4973.1,2.23675540126606,215.35,47.1589122011948,4607.5,4863.4,"M","aiden"
"arwen",1.24,213,4.270528233,9,2786.3,5677,2.10746762671034,440.244444444444,169.261758166982,3929.1,4735.8,"F","arwen"
"arwen",1.24,211,2.391853392,6,2636.8,4471.2,2.50851495332787,416.283333333333,148.34908043755,3611.3,4471.2,"F","arwen"
"arwen",1.24,212,2.069871289,5,2089.6,4499.2,2.41560913790713,430.66,86.1500029019152,2991,4499.2,"F","arwen"
"arwen",1.24,210,3.397919274,9,3439.3,4499.2,2.64867975789351,325.366666666667,37.9665313137769,4184.5,4458.6,"F","arwen"
"arya",0.98,259,4.20121041,9,3481.6,4928.8,2.14223976465868,325.388888888889,94.1386403721188,4061.8,4642.1,"F","arya"
"arya",0.98,260,4.324845114,9,3401.3,5043.4,2.08099937980808,306.255555555556,122.640593922966,3987.8,5043.4,"F","arya"
"arya",0.98,261,3.672726015,7,3551,5059.1,1.90594124674993,406.071428571429,107.977647598715,4321.6,4679.4,"F","arya"
