"indiv_id","weight_kg","duration","n.notes","low.freq","high.freq","note.rate","bandwidth.mean","bandwidth.sd","firstnotehighfreq","lasttnotehighfreq","titi.id","birthdate","sex","name"
"abe",1.34,3.684297187,14,3359.2,9130.1,3.79991061779675,4540.42142857143,1249.30006014357,8268.8,7665.8,34438,"9/23/02","M","abe"
"abe",1.34,3.087117148,11,1205.9,8441,3.56319487490988,4118.71818181818,1333.69605144364,7149,6976.8,34438,"9/23/02","M","abe"
"abe",1.34,3.442574515,13,2325.6,8699.4,3.77624360587007,4518.65384615385,452.532764219684,6632.2,8182.6,34438,"9/23/02","M","abe"
"abe",1.34,2.376163698,9,3273,7752,3.78761783440057,3033.77777777778,852.416998566104,7149,6460,34438,"9/23/02","M","abe"
"abe",1.34,4.007986961,14,1378.1,8699.4,3.4930253357179,3986.71428571429,1118.1604060359,5943.2,7235.2,34438,"9/23/02","M","abe"
"adama",1.425,1.761175029,6,2842.4,8182.6,3.40681641586005,3560.15,1199.2716485434,7149,7149,39541,"2/7/09","M","adama"
"adama",1.425,1.113386513,4,3273,7493.6,3.59264276448084,3854.45,237.194723100381,7321.3,7493.6,39541,"2/7/09","M","adama"
"adama",1.425,3.807587613,12,1464.3,8354.9,3.15160180662138,3976.45833333333,1207.98842969951,8354.9,5770.9,39541,"2/7/09","M","adama"
"aiden",1.32,1.889479568,9,3445.3,8785.5,4.76321636519543,3397.46666666667,975.539742911584,6804.5,8785.5,35383,"2/27/04","M","aiden"
"aiden",1.32,2.247335546,10,3186.9,9474.6,4.44971380344108,4272.18,698.792839752161,6804.5,6373.8,35383,"2/27/04","M","aiden"
"aiden",1.32,1.943365549,9,3359.2,8268.8,4.63114106588498,3378.31111111111,848.069353656357,6718.4,6201.6,35383,"2/27/04","M","aiden"
"alberto",1.196,3.330037842,11,3100.8,7665.8,3.30326576511019,2771.9,736.734101287568,6460,4651.2,29775,"6/5/96","M","alberto"
"alberto",1.196,1.675140616,6,3273,6632.2,3.58178886159847,2899.78333333333,241.58710575415,6460,6460,29775,"6/5/96","M","alberto"
"alberto",1.196,2.920109171,10,3445.3,7838.1,3.42452950023628,3161.07,588.459663585081,6373.8,6201.6,29775,"6/5/96","M","alberto"
"alberto",1.196,4.838212831,15,2756.2,6373.8,3.10031834562757,2848.10666666667,497.415394768177,6201.6,6201.6,29775,"6/5/96","M","alberto"
"alberto",1.196,4.466042614,14,2584,7752,3.13476632670572,3199.20714285714,543.56776870582,5943.2,5943.2,29775,"6/5/96","M","alberto"
"alberto",1.196,3.950730004,13,2756.2,7924.2,3.2905311137025,3392.28461538462,531.59107850263,6287.7,6115.4,29775,"6/5/96","M","alberto"
"arya",0.98,2.101393972,5,3273,6460,2.37937296224432,2652.88,351.950986644447,6460,5770.9,44311,"4/18/14","F","arya"
"arya",0.98,1.613191332,4,3445.3,6976.8,2.4795570870325,3273,210.982716511724,6632.2,6976.8,44311,"4/18/14","F","arya"
"arya",0.98,2.865537234,9,3186.9,6201.6,3.14077231076035,2411.7,489.132300609968,6029.3,5168,44311,"4/18/14","F","arya"
"berkie",1.315,1.685262312,7,4220.5,8699.4,4.15365605114179,1685.75714285714,1348.05271639891,8699.4,6373.8,31716,"4/27/99","M","berkie"
"berkie",1.315,2.034460809,8,3359.2,7407.4,3.93224581403082,1690.3625,886.715594503511,7407.4,5081.8,31716,"4/27/99","M","berkie"
"berkie",1.315,1.720688247,7,3359.2,6976.8,4.06813960181597,2276.38571428571,855.350572238408,6890.6,5426.4,31716,"4/27/99","M","berkie"
"berkie",1.315,1.452895273,6,3359.2,7493.6,4.12968512700227,3129.48333333333,661.950056776693,6546.1,5512.5,31716,"4/27/99","M","berkie"
"berkie",1.315,1.983852331,8,3531.4,6804.5,4.03255820757961,1528.8625,723.221248379182,6460,5168,31716,"4/27/99","M","berkie"
"berkie",1.315,1.411976532,6,3617.6,7407.4,4.24936241079112,1894.91666666667,934.034484195668,7407.4,6287.7,31716,"4/27/99","M","berkie"
"berkie",1.315,1.685262312,7,3617.6,8441,4.15365605114179,1931.84285714286,873.947240698093,6546.1,5598.6,31716,"4/27/99","M","berkie"
"berkie",1.315,1.199420925,5,3617.6,7149,4.16867831449581,2118.88,813.909805813887,7149,5598.6,31716,"4/27/99","M","berkie"
"berkie",1.315,1.366428902,6,3186.9,6890.6,4.39100782427683,1851.88333333333,1086.41903226456,6890.6,6460,31716,"4/27/99","M","berkie"
"berkie",1.315,1.675140616,7,4306.6,8096.5,4.17875367186488,2116.42857142857,784.452020445452,8096.5,6460,31716,"4/27/99","M","berkie"
"berkie",1.315,1.417037379,6,4134.4,8182.6,4.23418611881233,1837.48333333333,1323.92743670741,8182.6,6804.5,31716,"4/27/99","M","berkie"
"berkie",1.315,1.675140616,7,2842.4,8441,4.17875367186488,2805.45714285714,1201.58776050294,6804.5,6373.8,31716,"4/27/99","M","berkie"
"berkie",1.315,1.705505703,7,1119.7,7321.3,4.10435449596383,3716,1249.57515046782,7321.3,6287.7,31716,"4/27/99","M","berkie"
"buboo",1.26,2.606336609,9,3359.2,7407.4,3.45312265841714,3234.74444444444,548.337852311673,7149,6804.5,34431,"9/10/02","M","buboo"
"buboo",1.26,2.302685742,8,3703.7,7493.6,3.47420399322558,2896.2125,328.568977048308,7149,6976.8,34431,"9/10/02","M","buboo"
"buboo",1.26,2.53548474,9,3617.6,7752,3.5496171039862,3454.85555555556,418.522861117261,6976.8,6804.5,34431,"9/10/02","M","buboo"
"buboo",1.26,2.712614413,10,5426.4,7838.1,3.68648044929488,1197.24,637.419759133127,7235.2,7321.3,34431,"9/10/02","M","buboo"
"buboo",1.26,3.152908169,11,4651.2,7752,3.48884249409929,1996.72727272727,497.522793630421,7149,7235.2,34431,"9/10/02","M","buboo"
"buboo",1.26,3.259185972,11,3962.1,7579.7,3.37507589149626,2145.5,569.329999209597,7235.2,6718.4,34431,"9/10/02","M","buboo"
"buboo",1.26,2.899865781,10,4651.2,7752,3.44843546398605,1782.97,619.853638728083,6976.8,6976.8,34431,"9/10/02","M","buboo"
"buboo",1.26,2.965656801,10,4478.9,7665.8,3.37193433732051,2256.68,341.640635756346,7062.9,7062.9,34431,"9/10/02","M","buboo"
"buboo",1.26,2.034460809,8,3445.3,8268.8,3.93224581403082,2540.9125,746.633716734173,7149,6718.4,34431,"9/10/02","M","buboo"
"buboo",1.26,1.928183006,7,3359.2,7149,3.63036079989183,3531.42857142857,205.029011884381,6976.8,6976.8,34431,"9/10/02","M","buboo"
"buboo",1.26,2.904926628,10,4651.2,7752,3.44242773762753,2239.46,246.968109502241,7321.3,7149,34431,"9/10/02","M","buboo"
"buboo",1.26,2.94541341,10,3789.8,7665.8,3.39510914360915,2773.47,501.886421524941,6890.6,6718.4,34431,"9/10/02","M","buboo"
"buboo",1.26,3.193394951,11,3962.1,7838.1,3.44460994295597,2529.17272727273,338.604442058604,6976.8,6976.8,34431,"9/10/02","M","buboo"
"buboo",1.26,2.818892215,10,3445.3,7493.6,3.54749285793462,2695.95,466.568923692476,6546.1,6632.2,34431,"9/10/02","M","buboo"
"buboo",1.26,3.092177996,11,4823.4,7579.7,3.55736313182147,2286.46363636364,212.248450042526,6890.6,7062.9,34431,"9/10/02","M","buboo"
"buffy",1.16,2.803709672,12,3445.3,6287.7,4.28004372914971,2253.81666666667,315.583473565836,6115.4,6287.7,37808,"1/30/07","F","buffy"
"buffy",1.16,3.188334104,13,3531.4,7924.2,4.07736440910962,3193.53076923077,487.818125918214,6373.8,7407.4,37808,"1/30/07","F","buffy"
"buffy",1.16,3.431254797,14,3359.2,6546.1,4.08014001532047,2030.27857142857,364.973438819808,5081.8,5684.8,37808,"1/30/07","F","buffy"
"buffy",1.16,2.894804933,12,3273,7665.8,4.14535703708503,3308.925,527.705105536313,5254.1,6890.6,37808,"1/30/07","F","buffy"
"buffy",1.16,3.593201926,15,3186.9,7665.8,4.17454969381534,3393.62666666667,544.547186026632,6546.1,7407.4,37808,"1/30/07","F","buffy"
"buffy",1.16,2.710083989,11,2670.1,7665.8,4.05891479550009,3069.46363636364,858.090867301042,5340.2,6890.6,37808,"1/30/07","F","buffy"
